Country,Name ,Activity,Twitter
Argentina,Ceibo XTZ,Baker,@CeiboXTZ
Argentina,Tezos Argentina,Community,@TezosArg
Australia,XTZ Delegate,Baker,
Australia,Tezos Baking Club,Baker,
Australia,Tezos Aus,Baker,
Australia,Tezos Australia,Community,@AustraliaTezos
Austria,Happy Tezos,Baker,
Azerbaijan,Tz Node,Baker,
Brazil,Just a Baker,Baker,
Brazil,TezosBr,Baker,
Brazil,Tezos Brazil,Community,@tezosbrazil
Canada,Hayek Lab,Baker,
Canada,Tz Bank,Baker,
Canada,Tezos Commons,Community,@TezosCommons ‏
Canada,Tezos Canada,Community,@Tezos__Canada
China,Wetez Wallet,Baker,@Wetez_wallet
China,Tezos Hong Kong,Community,@TezosHK
China,Tezos Shenzhen,Community,@TezosShenzhen
China,Tezos Beijing,Community,@Tezos_Beijing ‏​​​​​​​
China,Tezos Shanghai,Community,@TezosSH ‏
China,Tezos China,Community,​​​​​​​@TezosChina
China,Wetez Wallet,Development,
Ethiopia,Tezos Ethiopia,Community,@tezos_ethiopia ‏
Europe,Tezos Europe,Community,@TezosEurope ‏
Finland,Tezos Finland,Community,@TezosFinland
France,Tez Patisserie,Baker,
France,Tezos Baking,Community,@Tezos_bakeFr
Germany,Staking Facilities,Baker,
Germany,Norn Delegate,Baker,
Germany,Stakery,Baker,
Germany,Tezos Blue,Development,@tezos_blue
Greece,Tezos Greece,Community,@TezosGreece
Ireland,Tezos Ireland,Community,@tezosireland ‏
Isle of Man,You Loaf We Bake,Baker,
Italy,TezoSteam,Baker,
Italy,Tezos Italy,Community,@TezosItalia ‏
Japan,Tezos Chef,Baker,
Japan,Tezos Tokyo,Baker,
Japan,Tezos Baker JP,Baker,
Japan,Tezos Japan,Community,@TezosJapan
Japan,Tezos Tokyo Meetup,Community,@TezosM
Latin American,Tezos Latin America,Community,@TezosLat
Moldova,Tezos Moldova,Community,@TezosMoldova ‏
Morocco,Cypher Baker,Baker,
Netherlands,Tezos Vote,Baker,
Netherlands,Tezos Delegate EU,Baker,
Netherlands,Tz Dutch,Baker,
Netherlands,Tezocracy,Baker,
Netherlands,Tezos Dutch,Community,@XTZnl
New Zealand,XTZ Antipodes,Baker,
New Zealand,TezBox,Development,@TezBox_Wallet
New Zealand,BakeChain,Development,
Philippines,Bakemon,Baker,
Philippines,Tezos Phillipines,Community,@PhTezos
Philippines,Tezos Phillipines,Community,@TezosFilipinas
Russia,TeZetetic,Baker,
Russia,Tezos Bakes,Baker,
Russia,Tezos HODL,Baker,
Serbia,Tezos Serbia,Community,@TezosSrbija
Singapore,Hyper Blocks Pro,Baker,
South Africa,Tezos South Africa,Community,@TezosSAfrica ‏
South Korea,TEZ Rocket,Baker,
South Korea,TezDele Baker A,Baker,
South Korea,TezDele Baker B,Baker,
South Korea,Tezos Korea,Community,@Tezos_Korea
Spain,Tezos Spanish,Baker,
Sweden,Tez Baking,Baker,
Switzerland,Cryptium Labs,Baker,@CryptiumLabs
Switzerland,Tezos Bakery,Baker,
Switzerland,AirBie,Baker,
Switzerland,Tez Baker,Baker,
Switzerland,Tezos Suisse,Baker,
Switzerland,Tezos Geneva,Community,@TezosGeneva
Turkey,Tezos Turkey,Community,@TRTezos ‏
UK,XTZ Black,Baker,
Ukraine,Bake’n’Rolls,Baker,
USA,Tezos Community,Baker,
USA,Tezzigator,Baker,
USA,Zednode,Baker,
USA,Crypto Delegate,Baker,
USA,Staked,Baker,
USA,Baked Tezos,Baker,
USA,TZ Bake,Baker,
USA,Tezos USA,Community,@TezosUSA ‏
USA,Cryptonomic,Development,
USA,Obsidian Systems,Development,@obsidian_llc
USA,Tezos Chicago,Community,@TezosChicago
USA,Tezos Alabama,Community,@TezosAlabama
USA,Tezos Boston,Community,@TezosBoston
USA,Tezos Los Angeles,Community,@tezosla
Vietnam,Tezos Vietnam,Community,@TezosV
